Artikel-ID;Datum;Titel (konstruktive / problemzentrierte Artikel);Anzahl_Kommentare;Lösungsvorschlag;Anzahl_Lösungsvorschläge;Ausführlichkeit_I;Konstruktive Wortwahl;Mitigation/Adaption;Bürger:innen;Ausführlichkeit
ZO_002;230324;In welcher Klimazukuft werden wir leben?;394;2;0;99;2;99;99;99
ZO_009;230214;"UN warnt vor ""Massensterben biblischen Ausmaßes""";480;2;0;99;2;99;99;99
ZO_012;221106;Weltwetterorganisation sieht 1,5-Grad-Ziel kaum noch in Reichweite;650;2;0;99;2;99;99;99
ZO_015;220719;Bauministerium will Städte besser vor Erderwärmung schützen;306;1;3;1;2;2;2;1
ZO_022;220705;China ist auf die Klimakrise nicht ausreichend vorbereitet;177;1;5;1;2;2;2;1
ZO_025;221124;Als ob sie bessere Menschen wären;441;2;0;99;2;99;99;99
ZO_027;230105;Fast jeder zweite Gletscher könnte bis zum Jahr 2100 schmelzen;138;2;0;99;2;99;99;99
ZO_028;220803;Denn sie wissen, was sie nicht tun;128;2;0;99;2;99;99;99
ZO_030;220709;Der Klimawandel droht Europas Spaltung zu vertiefen;171;1;5;1;2;2;2;1
ZO_040;230410;Es braucht eine Zeitenwende, die endlich den CO2-Preis ernst nimmt;719;1;2;1;2;1;2;1
ZO_044;220804;Reist im Sommer 2050 noch jemand nach Italien?;466;1;2;1;2;2;2;1
ZO_046;220915;So stark ist Ihre Region von Dürre betroffen;119;2;0;99;2;99;99;99
SO_003;221026;Die Klimakrise gefährdet unsere Gesundheit jetzt schon;459;1;1;2;1;1;2;2
SO_008;220826;Klimawandel hat Schaden durch Hurrikan >>Harvey<< verdoppelt;139;2;0;99;2;99;99;99
SO_012;221013;Was 100.000 Tote zusätzlich mit dem Klimawandel zu tun haben;441;2;0;99;2;99;99;99
SO_018;221209;Klimawandel gefährdet Nistplätze von Papageientauchern in Europa;15;1;1;1;2;2;2;2
SO_020;220510;50:50-Chance für mehr als 1,5 Grad Erderwärmung bis 2026;463;2;0;99;2;99;99;99
FAZ_006;230122;Wie die Kartoffel fit für den Klimawandel wird;2;1;1;1;2;2;2;1
FAZ_011;221106;Wie der Kampf gegen den Klimawandel gelingen soll;64;1;2;1;2;9;2;2
FAZ_012;221012;Bei der Klimakrise reichen gute Vorsätze nicht;3;1;4;1;1;1;1;2
FAZ_015;220912;Wie ein städtischer Platz an den Klimawandel angepasst wird;13;1;2;1;2;2;2;1
FAZ_016;220829;China entdeckt den Klimawandel;36;1;3;1;2;1;1;9
FAZ_018;220812;Erderwärmung in Arktis fast viermal schneller als weltweit;43;2;0;99;2;99;99;99
FAZ_022;220709;Vom Krieg zum Klimawandel;96;1;2;1;2;2;2;2
FAZ_024;220613;"""Gegen den Klimawandel antrinken""";4;1;1;1;2;2;2;1
FAZ_026;220524;Auch die jüngste Megahitze wurde vom Klimawandel angeheizt;33;2;0;99;2;99;99;99